RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215 
Victory,LT-432,STA-1,IS-M,M-II-Y,KV-2,AMX Canon d'assaut 105,Sherman Firefly,KV-13,M18 Hellcat,M44,T25/2,M12,T-50-2,Sturer Emil,SU-8,Progetto M35 mod 46,Tiger I,ELC EVEN 90,Jagdpanther,G.W. Panther,SU-100,E 75 TS,VK 36.01 (H),Type 64,VK 30.02 (D),SU-8,Leo,VK 30.01 (D),Rheinmetall Skorpion G,M44
Victory,Panhard EBR 105,STB-1,Kranvagn,Object 430U,Vz. 55,IS-7,E 100,Strv 103B,T-100 LT,Object 261,T57 Heavy Tank,Jagdpanzer E 100,Centurion Action X,E 100,STB-1,Strv 103B,T57 Heavy Tank,Object 705A,Object 261,Rinoceronte,E 100,Object 430U,Vz. 55,Manticore,Progetto M40 mod. 65,Object 140,FV215b,STB-1,Panhard EBR 105,Grille 15
Victory,Caernarvon,Strv S1,T26E4 SuperPershing,LT-432,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,Emil I,Rhm.-Borsig Waffenträger,FV1066 Senlac,IS-6,T-44,ELC EVEN 90,T28 Prototype,M41 Walker Bulldog,SU-14-2,Progetto CC55 mod. 54,Strv S1,IS-6,Lorraine 155 mle. 51,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,ELC EVEN 90,CS-53,leKpz M 41 90 mm GF,"8,8 cm Pak 43 Jagdtiger",Rheinmetall Skorpion,Tiger II,T26E4 SuperPershing,M41 Walker Bulldog,T92
Victory,Kunze Panzer,Cz20_ShPTK_TVP_100_mm,Tiger II,122 TM,Tortoise,AE Phase I,E 75,CS-52,Caliban,Rheinmetall Skorpion G,T28,T49,Type 61,Emil II,UDES 03,Progetto C50 mod. 66,E 75,Tiger II,Kanonenjagdpanzer 105,TNH T Vz. 51,122 TM,Jagdtiger,Type 61,AMX 13 90,Progetto M35 mod 46,VK 75.01 (K),Škoda T 50,UDES 03,Cz20_ShPTK_TVP_100_mm,Jagdpanther II
Victory,Ferdinand,Progetto M35 mod 46,50TP prototyp,Ikv 90 Typ B,Super Hellcat,Leo,T29,KV-1S,KV-85,Carro d'assalto P.88,AT 8,T-34-85M,SU-100,Type 4 Chi-To,VK 30.01 (D),Type 59,WZ-120-1G FT,Leo,IS,Tiger I,Tiger II,Carro d'assalto P.88,SU-152,T-150,T-34-85M,AT 8,Bretagne Panther,Ikv 65 Alt II,Achilles,M4A1 FL 10
Victory,E 100,Leopard 1,STB-1,E 100,E 100,Strv 103B,Object 277,STB-1,Super Conqueror,XM551 Sheridan,TVP T 50/51,Conqueror Gun Carriage,Vz. 55,Jagdpanzer E 100,60TP Lewandowskiego,Оbject 279,Object 261,Progetto M40 mod. 65,STB-1,Jagdpanzer E 100,UDES 15/16,E 100,Pz.Kpfw. VII,Leopard 1,T95/FV4201 Chieftain,STB-1,AMX 50 Foch (155),T-100 LT,Type 5 Heavy,E 100
Victory,Bat.-Châtillon Bourrasque,К-91-ПТ,Lorraine 50 t,Emil II,Cz20_ShPTK_TVP_100_mm,IS-2-II,Rheinmetall Skorpion,GSOR 1008,T49,Tiger II,Charioteer,Progetto CC55 mod. 54,Strv S1,STA-1,ELC EVEN 90,WZ-114,WZ-132A,Rhm.-Borsig Waffenträger,ELC EVEN 90,Somua SM,Strv S1,T32,Progetto C50 mod. 66,Progetto M35 mod 46,T-44,Tortoise,Cz20_ShPTK_TVP_100_mm,GSOR 1008,Progetto CC55 mod. 54,T-44
Victory,Rheinmetall Skorpion,AMBT,Char Futur 4,Progetto C50 mod. 66,T20,К-91-ПТ,AMX 13 57 GF,Strv K,G.W. Panther,Emil I,Black Prince,M26 Pershing,VK 30.02 (D),FV4202,T71 CMCD,WZ-111G FT,Progetto C50 mod. 66,Emil II,Ikv 90 Typ B,E 50,Charioteer,Lorraine 155 mle. 50,T-34-3,53TP Markowskiego,M-II-Y,Progetto M35 mod 46,T-34-3,T71 CMCD,AMX 13 75,CS-44
Victory,SU-130PM,Bat.-Châtillon Bourrasque,Super Hellcat,Tiger I,Strv m/42-57 Alt A.2,S-51,Tiger II,Cromwell B,Ikv 90 Typ B,G.W. Panther,Pz.Kpfw. IV Schmalturm,Tiger I,MT-25,Jagdpanzer IV,KV-1S,T-103,Löwe,King Tiger,AT 15A,Tiger I,Indien-Panzer,Super Hellcat,Crusader 5.5-in. SP,Cromwell B,S-51,T-50-2,SU-100,M18 Hellcat,M4A3E8 Thunderbolt VII,Škoda T 25
Victory,Panhard EBR 105,Char Futur 4,Object 430U,M53/M55,Concept 1B,FV4004 Conway,UDES 16,Vz. 55,M-V-Y,Vz. 55,Object 268,Spähpanzer Ru 251,Object 430U,T95,Škoda T 50,AE Phase I,M46 Patton,CS-63,Super Conqueror,Jagdtiger,Object 430,Strv 103B,Object 263,Char Futur 4,Panhard EBR 105,Vz. 55,E 100,Object 430U,T49,M53/M55
Victory,Ikv 65 Alt II,T-34-85M,VK 36.01 (H),Škoda T 25,T-34-85M,SU-8,40TP Habicha,VK 30.01 (P),VK 30.02 (M),"VK 28.01 mit 10,5 cm L/28",FV304,T-50-2,M24E2 Super Chaffee,KV-1S,Nashorn,T-34-85M,Bretagne Panther,VK 36.01 (H),AT 8,Ikv 65 Alt II,M6,Crusader,ARL 44,M4A3E8 Thunderbolt VII,Strv 74,Hummel,M44,T37,"VK 28.01 mit 10,5 cm L/28",VK 30.02 (M)
Victory,E 100,FV4005 Stage II,Cobra,FV4005 Stage II,Object 430,M53/M55,T30,T57 Heavy Tank,Object 261,T95,Strv K,T49,Emil II,AE Phase I,T30,FV215b (183),Rinoceronte,T49,Object 777 Version II,WZ-111 model 1-4,Object 261,Bat.-Châtillon 155 55,Type 61,T30,E 100,Emil II,Object 263,Char Futur 4,Char Futur 4,FV4005 Stage II
Victory,Progetto M35 mod 46,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,Cz20_ShPTK_TVP_100_mm,Turtle Mk. I,M40/M43,ELC EVEN 90,Rheinmetall Skorpion G,Škoda T 56,T26E5,M-III-Y,Indien-Panzer,T26E5 Patriot,T42,T28 Prototype,VK 75.01 (K),Cz20_ShPTK_TVP_100_mm,SU-14-2,T26E5 Patriot,T26E4 SuperPershing,Caliban,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,VK 168.01 (P),Charioteer,Emil I,Bat.-Châtillon Bourrasque,T92,M26 Pershing
Victory,T-100 LT,Kranvagn,Kranvagn,Panhard EBR 105,Maus,Object 430U,Jagdpanzer E 100,STB-1,T92 HMC,T110E4,Kranvagn,Object 705A,AMX 50 Foch (155),G.W. E 100,Object 277,T110E4,G.W. E 100,Kranvagn,E 100,Kranvagn,TVP T 50/51,Maus,Kranvagn,60TP Lewandowskiego,M48A5 Patton,Bat.-Châtillon 155 58,AMX 13 105,Vz. 55,FV4005 Stage II,Panhard EBR 105
Victory,T-100 LT,113,Manticore,Object 277,T110E4,T110E5,Object 261,AMX 50 Foch (155),Panhard EBR 105,Object 261,Conqueror Gun Carriage,Object 705A,121B,Strv 103B,UDES 15/16,Strv 103B,Panhard EBR 105,Grille 15,FV4005 Stage II,AMX 50 Foch (155),G.W. E 100,TVP T 50/51,E 100,XM551 Sheridan,Super Conqueror,IS-7,Object 261,Object 261,Manticore,UDES 15/16
Victory,FV1066 Senlac,Cz20_ShPTK_TVP_100_mm,Emil I,CS-52,Kanonenjagdpanzer 105,M4A1 Revalorisé,GSOR 1008,Tiger II,Rheinmetall Skorpion G,SU-130PM,Chrysler K GF,Bat.-Châtillon Bourrasque,Rhm.-Borsig Waffenträger,Progetto CC55 mod. 54,Strv S1,GSOR 1008,Rhm.-Borsig Waffenträger,TVP VTU Koncept,T26E5 Patriot,Rheinmetall Skorpion G,Rheinmetall Skorpion G,Tiger II,Bat.-Châtillon Bourrasque,T-44,Cz20_ShPTK_TVP_100_mm,UDES 03,112,T92,Ferdinand,Bisonte C45
Defeat,AMX M4 mle. 51,T30,WZ-111 Alpine Tiger,T-34-2,Rheinmetall Skorpion G,Crusader 5.5-in. SP,STG Guard,IS-3A,WZ-120,Leo,AMX AC mle. 46,Type 5 Chi-Ri,T29,Tiger I,Super Hellcat,Cobra,M-VI-Y,Tiger II,M-II-Y,Bofors Tornvagn,T95,SU-101,M56 Scorpion,Bat.-Châtillon Bourrasque,CS-53,M12,VK 30.02 (D),Super Hellcat,Comet,Tiger I
Draw,STB-1,60TP Lewandowskiego,T110E3,IS-7,114 SP2,G.W. E 100,Bat.-Châtillon 25 t,T57 Heavy Tank,Leopard 1,Progetto M40 mod. 65,M-V-Y,Object 430U,XM551 Sheridan,Super Conqueror,FV215b,M-V-Y,Object 260,Grille 15,Vz. 55,Leopard 1,Progetto M40 mod. 65,TVP T 50/51,STB-1,Object 261,T57 Heavy Tank,T-100 LT,Object 430U,Rinoceronte,Jagdpanzer E 100,60TP Lewandowskiego
Victory,T 55A,T77,TNH T Vz. 51,FV4004 Conway,Škoda T 27,AMX M4 mle. 45,T95,AMX 13 57,Vz. 44-1,Tiger I,M-II-Y,Tiger II,Super Hellcat,Tiger I,Spähpanzer SP I C,Cobra,SU-122-44,Škoda T 56,T95,Vz. 44-1,IS-2 Armored,T29,AE Phase I,AMX 50 Foch,M-III-Y,AMX 13 57,Tiger I,CS-44,Tiger II,T71 CMCD
Victory,VK 72.01 (K),60TP Lewandowskiego,121B,AE Phase I,Leopard Prototyp A,Jagdpanzer E 100,AMX M4 mle. 51,Leopard Prototyp A,M53/M55,AE Phase I,UDES 16,Char Futur 4,TVP T 50/51,Vz. 55,CS-59,E 75,Cobra,Bat.-Châtillon 25 t,E 100,E 100,IS-7,Leopard Prototyp A,AE Phase I,Prototipo Standard B,Leopard 1,FV4005 Stage II,212A,T-10,UDES 16,WZ-120
Victory,Somua SM,Super Conqueror,Conqueror,Grille 15,M103,M41D,Progetto M35 mod 46,STB-1,Bat.-Châtillon Bourrasque,Jagdpanzer E 100,TNH 105/1000,T95,Leopard Prototyp A,Cz20_ShPTK_TVP_100_mm,T-44,FV4005 Stage II,Object 140,Leopard Prototyp A,Object 704,AMX 50 120,Škoda T 56,AE Phase I,T95/FV4201 Chieftain,Grille 15,Bat.-Châtillon Bourrasque,SU-130PM,Объект 274а,ELC EVEN 90,T-103,IS-3
Victory,AMX ELC bis,Strv m/42,VK 30.01 (H),B1,T6 Medium,M8A1,VK 30.01 (H),T-28,Type 1 Chi-He,Valentine AT,M5 Stuart,Pz.Kpfw. II Luchs,M41 HMC,BT-7,Jagdpanzer 38(t) Hetzer,Alecto,M10 RBFM,T6 Medium,Type 3 Chi-Nu,Type 1 Chi-He,105 leFH18B2,Matilda,P26/40,Churchill III,Pz.Kpfw. II Luchs,AMX ELC bis,M5 Stuart,Valentine AT,Lago,Pz.Kpfw. III Ausf. J
Victory,Löwe,STG Guard,SU-14-2,T42,Škoda T 27,ELC EVEN 90,T25 Pilot Number 1,T26E4 SuperPershing,AMX Canon d'assaut 105,M41 Walker Bulldog,Panther II,UDES 14 Alt 5,Rheinmetall Skorpion G,Object 252U Defender,Rheinmetall Skorpion,ASTRON Rex 105 mm,Chrysler K,Rheinmetall Skorpion,Progetto M35 mod 46,SU-130PM,T26E4 SuperPershing,Bat.-Châtillon 12 t,TL-1 LPC,M46 Patton KR,Löwe,Panzer 58 Mutz,Turtle Mk. I,Type 59 G,ELC EVEN 90,G.W. Tiger (P)
Victory,T 55A,Grille 15,Оbject 279,TNH T Vz. 51,E 100,К-91-ПТ,Strv 103B,T30,Bat.-Châtillon 155 58,Rinoceronte,Jagdtiger,Škoda T 50,AMX 50 Foch (155),AE Phase I,Cobra,FV4004 Conway,T57 Heavy Tank,T92 HMC,T110E4,50TP Tyszkiewicza,Tortoise,FV4005 Stage II,Object 277,Centurion Mk. 7/1,Grille 15,E 100,T54E1,Char Futur 4,Tortoise,Prototipo Standard B
Victory,King Tiger,T-150,IS,M4A1 FL 10,T-34-85,M18 Hellcat,Škoda T 25,M44,КВ-2 (Р),SU-8,Super Hellcat,T-50-2,VK 30.02 (D),E 25,Cromwell B,E 25,M18 Hellcat,T-50-2,P.43 bis,Challenger,FV304,VK 30.02 (D),Škoda T 25,M44,T-34-85M,O-I,Tiger I,T-34-85 Rudy,IS,M6
Victory,CS-63,T110E4,Leopard 1,E 100,STB-1,Grille 15,Object 140,M60,Vz. 55,E 100,Kranvagn,E 100,AMX 50 B,Progetto M40 mod. 65,Panhard EBR 105,Vz. 55,Leopard 1,T110E3,Panhard EBR 105,K-91,TVP T 50/51,Kranvagn,Leopard 1,Maus,Bat.-Châtillon 25 t,Object 260,Object 140,Vz. 55,E 100,Jagdpanzer E 100
Victory,Tiger I,Ferdinand,ELC EVEN 90,Tiger II,UDES 14 Alt 5,ELC EVEN 90,M12,Super Hellcat,Tiger I,HWK 30,CS-44,Vz. 44-1,T29,IS,AMX 65 t,ELC EVEN 90,Cz20_ShPTK_TVP_100_mm,Panzer 58 Mutz,leKpz M 41 90 mm GF,M-II-Y,M-III-Y,AT 15A,IS-2,ELC EVEN 90,Tiger II,Panther/M10,Tiger I,Tiger I,Carro d'assalto P.88,Lorraine 155 mle. 50
Victory,Object 260,Оbject 279,Grille 15,Object 430U,IS-7,XM551 Sheridan,T92 HMC,Object 705A,Object 277,Object 261,M48A5 Patton,Panhard EBR 105,Bat.-Châtillon 25 t,E 100,FV215b (183),60TP Lewandowskiego,Object 430U,Object 277,Manticore,AMX 50 Foch B,Object 261,E 50 Ausf. M,Pz.Kpfw. VII,Super Conqueror,60TP Lewandowskiego,G.W. E 100,TVP T 50/51,T110E4,Panhard EBR 105,IS-7
Defeat,T-34-85M,M6,KV-2,T67,M10 RBFM,T-34,KV-2,KV-1,Bishop,M4A3E8 Sherman,VK 30.01 (H),VK 30.01 (H),KV-1,Cromwell,M4A1 FL 10,KV-85,KV-2,Excelsior,T67,105 leFH18B2,Churchill I,KV-1,Cromwell,T-34-85,T67,Cromwell B,B.U.G.I.,Valiant,T-34-85,VK 30.01 (H)
Victory,Progetto M35 mod 46,Cobra,Bisonte C45,50TP prototyp,WZ-111 model 1-4,Cz20_ShPTK_TVP_100_mm,M53/M55,FV4004 Conway,Ferdinand,leKpz M 41 90 mm GF,Leopard Prototyp A,Bat.-Châtillon Bourrasque,Indien-Panzer,T-54 ltwt.,53TP Markowskiego,CS-52,AMX 30 1er prototype,IS-3,M4A1 Revalorisé,T95,122 TM,Cz20_ShPTK_TVP_100_mm,TNH 105/1000,Tiger II,ELC EVEN 90,FV3805,Progetto M35 mod 46,Waffenträger auf Pz. IV,GSOR3301 AVR FS,T-54
Victory,122 TM,Waffenträger auf Pz. IV,Object 703 II,M40/M43,Škoda T 56,Rhm.-Borsig Waffenträger,Tiger II,Progetto M35 mod 46,IS-3,"8,8 cm Pak 43 Jagdtiger",50TP Tyszkiewicza,Emil I,IS-5 (Object 730),WZ-111,M40/M43,T95,Rhm.-Borsig Waffenträger,Progetto M35 mod 46,E 75,AMX 50 100,M6A2E1,Rheinmetall Skorpion,Type 59,TNH 105/1000,Tiger II,IS-2-II
Victory,Object 705A,STB-1,Leopard 1,121B,Bat.-Châtillon 155 58,E 100,STB-1,Object 268 Version 4,Object 261,Rinoceronte,Jagdpanzer E 100,AMX 13 105,T95/FV4201 Chieftain,Panhard EBR 105,Object 277,Jagdpanzer E 100,FV4005 Stage II,Leopard 1,Vz. 55,121B,T110E5,STB-1,Bat.-Châtillon 155 58,Object 261,60TP Lewandowskiego,STB-1,Manticore,ST-II,WZ-111 model 5A,Panhard EBR 105
Victory,Leopard 1,Leopard 1,114 SP2,Grille 15,Vz. 55,G.W. E 100,Jagdpanzer E 100,STB-1,STB-1,Kranvagn,Object 140,AMX 50 Foch (155),60TP Lewandowskiego,Manticore,FV4005 Stage II,AMX 50 B,Grille 15,FV4005 Stage II,Super Conqueror,T92 HMC,Kranvagn,Strv 103B,Jagdpanzer E 100,Leopard 1,Jagdpanzer E 100,Object 140,Leopard 1,AMX 13 105,T110E3,113
Victory,VK 28.01,105 leFH18B2,M5A1 Stuart,M4A3E8 Sherman,VK 36.01 (H),VK 30.01 (H),StuG IV,M24E2 Super Chaffee,Matilda,Jagdpanzer 38(t) Hetzer,M8A1,T1 Heavy Tank,M5 Stuart,Type T-34,T6 Medium,T-34-85M,M10 RBFM,A46,KV-1,StuG III Ausf. B,T37,T6 Medium,M10 Wolverine,Bishop,T6 Medium,Matilda,BT-7,Cruiser Mk. IV,KV-2,Škoda T 24
Victory,T78,SU-100Y,T-34-85M,M44,M18 Hellcat,Pudel,SU-100Y,T-50-2,AMX 12 t,KV-1S,Pawlack Tank,T-34-85,AT 8,Cromwell,M44,M18 Hellcat,Type 64,VK 36.01 (H),M44,Strv m/42-57 Alt A.2,SU-100Y,T-34-85M,Dicker Max,M44,M24E2 Super Chaffee,Heavy Tank No. VI,VK 30.02 (M),M18 Hellcat,AT 8,T-34-85 Rudy
Victory,XM551 Sheridan,T95/FV4201 Chieftain,Kranvagn,Strv 103B,Progetto M40 mod. 65,T95/FV4201 Chieftain,E 100,AMX 50 Foch B,Leopard 1,FV215b,TVP T 50/51,E 100,Panhard EBR 105,Vz. 55,Bat.-Châtillon 155 58,T95/FV4201 Chieftain,FV215b,STB-1,Rinoceronte,Object 705A,T95/FV4201 Chieftain,E 100,Panhard EBR 105,G.W. E 100,Object 268,T-100 LT,Super Conqueror,K-91,TVP T 50/51,Kranvagn
Victory,AE Phase I,E 100,M-VI-Y,E 100,Progetto C50 mod. 66,Object 430U,Char Futur 4,TVP VTU Koncept,SU-130PM,Leopard Prototyp A,Panhard EBR 75 (FL 10),Progetto M35 mod 46,CS-52,IS-3-II,M41 Walker Bulldog,Object 257,ST-II,Kampfpanzer 50 t,CS-52,TVP T 50/51,Panhard EBR 75 (FL 10),FV1066 Senlac,Progetto M35 mod 46,M54 Renegade,E 100,Cz20_ShPTK_TVP_100_mm,AE Phase I,Leopard Prototyp A,T-54,Mäuschen
Victory,CS-63,E 75,T95,T-62A,GSOR 1008,Strv 103B,STG Guard,Somua SM,Rheinmetall Skorpion,IS-3A,Object 277,ELC EVEN 90,UDES 03,T-54 ltwt.,Bat.-Châtillon Bourrasque,FV215b,Cz20_ShPTK_TVP_100_mm,Object 268 Version 4,Chrysler K,Waffenträger auf Pz. IV,Bat.-Châtillon 25 t,IS-3,GSOR3301 AVR FS,Kunze Panzer,STB-1,Progetto M35 mod 46,T34,Cz20_ShPTK_TVP_100_mm,AMX AC mle. 48,HWK 30
Victory,Škoda T 56,ISU-152,Somua SM,STG Guard,Emil I,Indien-Panzer,SU-101,50TP prototyp,G.W. Tiger (P),HWK 30,LT-432,M6A2E1,Centurion Mk. I,Indien-Panzer,Cz20_ShPTK_TVP_100_mm,Cz20_ShPTK_TVP_100_mm,T-103,WZ-111,T92,Chrysler K GF,Kampfpanzer 07 RH,Kampfpanzer 07 RH,Somua SM,STA-1,Lorraine 155 mle. 51,Tiger II,Panther II,HWK 12,ISU-152,IS-6 B
Victory,Crusader,ISU-152K,T26E4 SuperPershing,Super Hellcat,FV304,Škoda T 25,T-34-85M,Vz. 44-1,Tiger II,Pawlack Tank,M36 Jackson,IS,M18 Hellcat,Super Hellcat,Tiger I,Centurion Mk. 5/1 RAAC,M44,Tiger I,Škoda T 56,AT 15,Ikv 65 Alt II,Ikv 90 Typ B,Super Hellcat,B.U.G.I.,T-34-85M,M18 Hellcat,IS-2,IS,AMX 12 t,KV-2
Defeat,Centurion Mk. 7/1,TS-5,Waffenträger auf Pz. IV,Cz20_ShPTK_TVP_100_mm,G.W. Tiger (P),T-54,Vz. 44-1,ELC EVEN 90,TNH 105/1000,Kunze Panzer,Hotchkiss EBR,Type 5 Chi-Ri,M-II-Y,Spähpanzer SP I C,T-34-2G FT,Char Futur 4,SU-130PM,Object 430,T28 Prototype,LT-432,T71 CMCD,M-IV-Y,Type 61,Strv 103-0,Panther,Jagdpanther,T29,FV207,Hotchkiss EBR,IS
Defeat,FV4005 Stage II,Object 430U,Cobra,60TP Lewandowskiego,Kranvagn,Object 430U,Cobra,Prototipo Standard B,M53/M55,Leopard Prototyp A,TNH T Vz. 51,Waffenträger auf Pz. IV,T110E4,T-62A,T-54 ltwt.,TVP T 50/51,Jagdpanzer E 100,Bat.-Châtillon 155 55,E 50,T110E4,E 100,60TP Lewandowskiego,STB-1,Spähpanzer Ru 251,Leopard Prototyp A,Object 140,E 50,Emil II,T30,Type 61
Victory,AMX ELC bis,105 leFH18B2,Jagdpanzer 38(t) Hetzer,SU-85,Type 1 Chi-He,M8A1,Valentine AT,Matilda,AT 2,Pz.Kpfw. III Ausf. J,Churchill I,Pz.Kpfw. III Ausf. J,AMX 40,Pz.Kpfw. IV Ausf. D,Pz.Kpfw. IV Ausf. D,M10 Wolverine,T40,VK 30.01 (H),SU-76G FT,Type 1 Chi-He,StuG III Ausf. B,T-34,AMX ELC bis,M41 HMC,Matilda,SU-76M,P26/40,Pz.Kpfw. III Ausf. J,Type 1 Chi-He,Durchbruchswagen 2
Victory,SU-122A,M-II-Y,"VK 28.01 mit 10,5 cm L/28",Super Hellcat,Excalibur,T-43,KV-2,Strv m/42-57 Alt A.2,TOG II*,M10 Wolverine,Type 3 Chi-Nu,Type 3 Chi-Nu,Pz.Kpfw. IV Ausf. H,M10 RBFM,M24E2 Super Chaffee,Ikv 90 Typ B,P.43 ter,TOG II*,105 leFH18B2,Cromwell,T1 Heavy Tank,Tiger I,WZ-131G FT,M10 RBFM,Pz.Kpfw. III/IV,Type 4 Chi-To,T67,Type 64,Crusader,T-34
Victory,UDES 15/16,T95/FV4201 Chieftain,E 100,CS-63,Object 268 Version 4,STB-1,Centurion Action X,Bat.-Châtillon 25 t,AMX 50 Foch B,Bat.-Châtillon 155 58,Conqueror Gun Carriage,121,Leopard 1,Kranvagn,G.W. E 100,STB-1,Оbject 279,Object 268 Version 4,Leopard 1,CS-63,STB-1,G.W. E 100,AMX 50 Foch B,Object 260,Bat.-Châtillon 155 58,Bat.-Châtillon 25 t,TVP T 50/51,UDES 15/16,Object 261,T110E4
Victory,Cobra,UDES 15/16,Vz. 55,Cobra,Kampfpanzer 50 t,Vz. 55,Char Futur 4,Waffenträger auf Pz. IV,AMX 13 90,Leopard 1,Progetto C50 mod. 66,T30,M53/M55,Centurion Mk. 7/1,E 75,Super Conqueror,STB-1,STB-1,212A,Vz. 55,Centurion Mk. 7/1,E 50,T30,Kunze Panzer,E 75,T30,T49,Progetto C50 mod. 66,Char Futur 4,M46 Patton
Defeat,FV215b (183),T-100 LT,Super Conqueror,Kranvagn,Bat.-Châtillon 25 t,G.W. E 100,T110E4,Centurion Action X,T92 HMC,Object 277,Super Conqueror,Manticore,121B,E 100,STB-1,STB-1,Vz. 55,Super Conqueror,Leopard 1,STB-1,Manticore,Super Conqueror,Object 268 Version 4,E 100,WZ-111 model 5A,Bat.-Châtillon 155 58,Manticore,G.W. E 100,Bat.-Châtillon 25 t,FV215b (183)
Defeat,Vz. 55,AMX M4 mle. 54,Emil II,Progetto M40 mod. 65,T30,Leopard Prototyp A,Object 430,Progetto M35 mod 46,Rheinmetall Skorpion G,STA-1,Caernarvon,Progetto M35 mod 46,E 50,E 75,Cz20_ShPTK_TVP_100_mm,STB-1,Vz. 55,Object 705A,Char Futur 4,Rheinmetall Skorpion G,E 75,Type 59,T-34-2,Object 263,IS-3-II,Emil I,STA-1,Rhm.-Borsig Waffenträger,Leopard Prototyp A,T-54
Victory,SU-130PM,Char Futur 4,Super Conqueror,Progetto M35 mod 46,FV217 Badger,121,WZ-111G FT,Strv K,T95,Škoda T 56,Bat.-Châtillon 155 55,ELC EVEN 90,M40/M43,Type 61,M54 Renegade,T95/FV4201 Chieftain,T110E4,IS-3,M40/M43,121B,M-VI-Y,Progetto M35 mod 46,T95,Type 61,Char Futur 4,212A,Object 263,Caernarvon,T28 Prototype,ELC EVEN 90
Defeat,Sherman Firefly,Panhard AMD 178B,Pawlack Tank,T-150,T67,M10 RBFM,Crusader,Type 3 Chi-Nu,Škoda T 25,VK 16.02 Leopard,M10 Wolverine,Grille,T-34,60G FT,VK 30.01 (H),T-34-85,AMX 12 t,T-34-85M,T67,Škoda T 25,T67,AMX ELC bis,105 leFH18B2,StuG III Ausf. G,Churchill VII,M10 RBFM,T1 Heavy Tank,Panhard AMD 178B,P.43,25TP KSUST II
Defeat,T-34-1,IS,Super Hellcat,VK 36.01 (H),"VK 28.01 mit 10,5 cm L/28",T-34-85M,VK 30.02 (M),KV-2,KV-3,T-34-85M,T20,Konštrukta T-34/100,M24E2 Super Chaffee,Nashorn,SU-100Y,Tiger I,Achilles,Tiger (P),VK 30.02 (D),Dicker Max,КВ-2 (Р),Type 5 Chi-Ri,O-Ni,B.U.G.I.,SU-100Y,E 25,"VK 28.01 mit 10,5 cm L/28",M24E2 Super Chaffee,ARL 44,T-34-85M
Victory,Leopard 1,Concept 1B,AMX 50 120,Cz20_ShPTK_TVP_100_mm,M53/M55,Tortoise,SU-130PM,Concept 1B,Vz. 55,Char Futur 4,AMX AC mle. 48,Leopard 1,T26E5,Progetto M35 mod 46,Škoda T 56,Kanonenjagdpanzer 105,TVP T 50/51,STB-1,Emil II,M53/M55,AE Phase I,GSOR 1008,T30,Tiger II,Cz20_ShPTK_TVP_100_mm,Leopard Prototyp A,IS-3,Kampfpanzer 50 t,Super Conqueror,IS-3
Victory,CS-59,Progetto M35 mod 46,T28 Prototype,Concept 1B,M4A1 Revalorisé,S-51,G.W. Panther,Waffenträger auf Pz. IV,Tiger II,Super Hellcat,Black Prince,Sturer Emil,CS-44,Panther,Jagdpanther II,Progetto M35 mod 46,AT 15,Tortoise,CS-53,G.W. Panther,T 55A,E 75,Leo,Strv S1,Panther,WZ-111 Alpine Tiger,Tiger I,G.W. Panther,Jagdpanther,Super Hellcat
Victory,E 75,T30,Bat.-Châtillon Bourrasque,Cobra,SU-130PM,T49,UDES 16,T95,Progetto M35 mod 46,Object 257,T-44,Progetto M35 mod 46,T-34-3,M41 Walker Bulldog,IS-6 B,Waffenträger auf Pz. IV,CS-52,AE Phase I,Lorraine 50 t,Kampfpanzer 50 t,T95,Bat.-Châtillon Bourrasque,Progetto M35 mod 46,Centurion Mk. 7/1,122 TM,Rheinmetall Skorpion G,AMX 13 90,Lorraine 40 t,Bat.-Châtillon 12 t,Löwe
Victory,Strv S1,Tiger II,Pudel,WZ-111 Alpine Tiger,VK 30.02 (D),Tiger I,STA-1,AT 7,M18 Hellcat,Dicker Max,AMX 12 t,Nashorn,Type 64,VK 36.01 (H),T-34-85,SU-130PM,"Panther mit 8,8 cm L/71",E 25,Tiger II,Super Hellcat,T-34-85M,Strv 74,45TP Habicha,TNH 105/1000,Sherman Firefly,Nashorn,Ikv 65 Alt II,VK 30.01 (P),M24E2 Super Chaffee,AMX 12 t
Victory,M4A1 Revalorisé,M40/M43,Rhm.-Borsig Waffenträger,M48A5 Patton,WZ-132A,SU-130PM,IS-7,STB-1,Emil I,Rinoceronte,Char Futur 4,Progetto M35 mod 46,HWK 12,Bat.-Châtillon 25 t AP,E 75,T30,Object 430U,Kranvagn,Char Futur 4,STB-1,Prototipo Standard B,SU-14-2,STA-1,Emil I,Tiger II,Rhm.-Borsig Waffenträger,E 100,FV1066 Senlac,T49,SU-130PM
